result_position,bridge_signature,rule_id,edge_count
646,Al-O-Si,T-O-T,96
647,Al-O-Si,T-O-T,96
648,Al-O-Si,T-O-T,96
649,Al-O-Si,T-O-T,96
650,Al-O-Si,T-O-T,96
651,Al-O-Si,T-O-T,96
652,Al-O-Si,T-O-T,96
653,Al-O-Si,T-O-T,96
654,Al-O-Si,T-O-T,96
655,Al-O-Si,T-O-T,96
656,Al-O-Si,T-O-T,96
657,Al-O-Si,T-O-T,96
658,Al-O-Si,T-O-T,96
659,Al-O-Si,T-O-T,96
660,Al-O-Si,T-O-T,96
661,Al-O-Si,T-O-T,96
662,Al-O-Si,T-O-T,96
663,Al-O-Si,T-O-T,96
664,Al-O-Si,T-O-T,96
665,Al-O-Si,T-O-T,96
666,Al-O-Si,T-O-T,96
667,Al-O-Si,T-O-T,96
668,Al-O-Si,T-O-T,96
669,Al-O-Si,T-O-T,96
670,Al-O-Si,T-O-T,96
671,Al-O-Si,T-O-T,96
672,Al-O-Si,T-O-T,96
673,Al-O-Si,T-O-T,96
674,Al-O-Si,T-O-T,96
675,Al-O-Si,T-O-T,96
676,Al-O-Si,T-O-T,96
677,Al-O-Si,T-O-T,96
678,Al-O-Si,T-O-T,96
679,Al-O-Si,T-O-T,96
680,Al-O-Si,T-O-T,96
681,Al-O-Si,T-O-T,96
682,Al-O-Si,T-O-T,96
683,Al-O-Si,T-O-T,96
684,Al-O-Si,T-O-T,96
685,Al-O-Si,T-O-T,96
686,Al-O-Si,T-O-T,96
687,Al-O-Si,T-O-T,96
688,Al-O-Si,T-O-T,96
689,Al-O-Si,T-O-T,96
690,Al-O-Si,T-O-T,96
691,Al-O-Si,T-O-T,96
692,Al-O-Si,T-O-T,96
693,Al-O-Si,T-O-T,96
694,Al-O-Si,T-O-T,96
695,Al-O-Si,T-O-T,96
696,Al-O-Si,T-O-T,96
697,Al-O-Si,T-O-T,96
698,Al-O-Si,T-O-T,96
699,Al-O-Si,T-O-T,96
700,Al-O-Si,T-O-T,96
701,Al-O-Si,T-O-T,96
702,Al-O-Si,T-O-T,96
703,Al-O-Si,T-O-T,96
704,Al-O-Si,T-O-T,96
705,Al-O-Si,T-O-T,96
706,Al-O-Si,T-O-T,96
707,Al-O-Si,T-O-T,96
708,Al-O-Si,T-O-T,96
